id,neo_reference_id,name,nasa_jpl_url,absolute_magnitude_h,is_potentially_hazardous_asteroid,close_approach_data,is_sentry_object,links_self,estimated_diameter_kilometers_estimated_diameter_min,estimated_diameter_kilometers_estimated_diameter_max,estimated_diameter_meters_estimated_diameter_min,estimated_diameter_meters_estimated_diameter_max,estimated_diameter_miles_estimated_diameter_min,estimated_diameter_miles_estimated_diameter_max,estimated_diameter_feet_estimated_diameter_min,estimated_diameter_feet_estimated_diameter_max,sentry_data
2138852,2138852,138852 (2000 WN10),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2138852,20.31,False,"[{'close_approach_date': '2024-11-10', 'close_approach_date_full': '2024-Nov-10 08:02', 'epoch_date_close_approach': 1731225720000, 'relative_velocity': {'kilometers_per_second': '15.7752846804', 'kilometers_per_hour': '56791.0248494638', 'miles_per_hour': '35287.7343016015'}, 'miss_distance': {'astronomical': '0.163032138', 'lunar': '63.419501682', 'kilometers': '24389260.58634606', 'miles': '15154783.791693228'}, 'orbiting_body': 'Earth'}]",False,http://api.nasa.gov/neo/rest/v1/neo/2138852?api_key=zEV8WaqAclQozMvV7r8zkXjdX6O5NLcAqvgJgtwC,0.2304384666,0.5152760759,230.4384665765,515.2760758959,0.1431877804,0.3201776106,756.031738683,1690.5383608424,
2390725,2390725,390725 (2003 HB),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2390725,19.7,True,"[{'close_approach_date': '2024-11-10', 'close_approach_date_full': '2024-Nov-10 01:24', 'epoch_date_close_approach': 1731201840000, 'relative_velocity': {'kilometers_per_second': '19.1702717603', 'kilometers_per_hour': '69012.978336985', 'miles_per_hour': '42881.980900556'}, 'miss_distance': {'astronomical': '0.4506177973', 'lunar': '175.2903231497', 'kilometers': '67411462.660171751', 'miles': '41887540.5459661238'}, 'orbiting_body': 'Earth'}]",False,http://api.nasa.gov/neo/rest/v1/neo/2390725?api_key=zEV8WaqAclQozMvV7r8zkXjdX6O5NLcAqvgJgtwC,0.3051792326,0.6824015094,305.1792325939,682.4015094011,0.1896295249,0.4240245083,1001.2442334633,2238.8501681036,
3392303,3392303,(2007 VE3),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3392303,23.1,False,"[{'close_approach_date': '2024-11-10', 'close_approach_date_full': '2024-Nov-10 09:15', 'epoch_date_close_approach': 1731230100000, 'relative_velocity': {'kilometers_per_second': '32.1996811546', 'kilometers_per_hour': '115918.8521566838', 'miles_per_hour': '72027.4667748017'}, 'miss_distance': {'astronomical': '0.4309854389', 'lunar': '167.6533357321', 'kilometers': '64474503.660455143', 'miles': '40062598.8472132534'}, 'orbiting_body': 'Earth'}]",False,http://api.nasa.gov/neo/rest/v1/neo/3392303?api_key=zEV8WaqAclQozMvV7r8zkXjdX6O5NLcAqvgJgtwC,0.063760979,0.1425738833,63.7609789875,142.5738833281,0.0396192233,0.0885912765,209.1895703015,467.7620993781,
3550608,3550608,(2010 VP21),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3550608,23.4,False,"[{'close_approach_date': '2024-11-10', 'close_approach_date_full': '2024-Nov-10 00:18', 'epoch_date_close_approach': 1731197880000, 'relative_velocity': {'kilometers_per_second': '11.3533663424', 'kilometers_per_hour': '40872.1188327797', 'miles_per_hour': '25396.3451714014'}, 'miss_distance': {'astronomical': '0.1125555643', 'lunar': '43.7841145127', 'kilometers': '16838072.675928041', 'miles': '10462693.1992913258'}, 'orbiting_body': 'Earth'}]",False,http://api.nasa.gov/neo/rest/v1/neo/3550608?api_key=zEV8WaqAclQozMvV7r8zkXjdX6O5NLcAqvgJgtwC,0.0555334912,0.1241766613,55.5334911581,124.1766612574,0.0345069009,0.0771597762,182.1964991311,407.4037573197,
3843591,3843591,(2019 QZ),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3843591,26.0,False,"[{'close_approach_date': '2024-11-10', 'close_approach_date_full': '2024-Nov-10 10:31', 'epoch_date_close_approach': 1731234660000, 'relative_velocity': {'kilometers_per_second': '13.483054179', 'kilometers_per_hour': '48538.9950443914', 'miles_per_hour': '30160.2438929997'}, 'miss_distance': {'astronomical': '0.3308380993', 'lunar': '128.6960206277', 'kilometers': '49492674.970128491', 'miles': '30753322.1759395358'}, 'orbiting_body': 'Earth'}]",False,http://api.nasa.gov/neo/rest/v1/neo/3843591?api_key=zEV8WaqAclQozMvV7r8zkXjdX6O5NLcAqvgJgtwC,0.0167708462,0.0375007522,16.7708462163,37.5007521798,0.0104209175,0.0233018799,55.0224631002,123.0339677816,
54105518,54105518,(2021 AW5),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54105518,26.54,False,"[{'close_approach_date': '2024-11-10', 'close_approach_date_full': '2024-Nov-10 06:54', 'epoch_date_close_approach': 1731221640000, 'relative_velocity': {'kilometers_per_second': '8.0122173908', 'kilometers_per_hour': '28843.9826068089', 'miles_per_hour': '17922.5290814363'}, 'miss_distance': {'astronomical': '0.4658004523', 'lunar': '181.1963759447', 'kilometers': '69682755.509116601', 'miles': '43298856.4787110538'}, 'orbiting_body': 'Earth'}]",False,http://api.nasa.gov/neo/rest/v1/neo/54105518?api_key=zEV8WaqAclQozMvV7r8zkXjdX6O5NLcAqvgJgtwC,0.0130784109,0.0292442157,13.0784108584,29.2442157171,0.0081265452,0.0181715076,42.9081734807,95.9455926932,
54212945,54212945,(2021 UE3),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54212945,25.36,False,"[{'close_approach_date': '2024-11-10', 'close_approach_date_full': '2024-Nov-10 17:21', 'epoch_date_close_approach': 1731259260000, 'relative_velocity': {'kilometers_per_second': '26.7324350065', 'kilometers_per_hour': '96236.7660235562', 'miles_per_hour': '59797.7838661369'}, 'miss_distance': {'astronomical': '0.4299057617', 'lunar': '167.2333413013', 'kilometers': '64312986.251047579', 'miles': '39962236.5828674302'}, 'orbiting_body': 'Earth'}]",False,http://api.nasa.gov/neo/rest/v1/neo/54212945?api_key=zEV8WaqAclQozMvV7r8zkXjdX6O5NLcAqvgJgtwC,0.0225193047,0.050354696,22.5193046679,50.3546960434,0.0139928429,0.0312889478,73.8822355265,165.2057009669,
54357100,54357100,(2023 HF6),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54357100,25.22,False,"[{'close_approach_date': '2024-11-10', 'close_approach_date_full': '2024-Nov-10 05:10', 'epoch_date_close_approach': 1731215400000, 'relative_velocity': {'kilometers_per_second': '23.4156043778', 'kilometers_per_hour': '84296.1757599893', 'miles_per_hour': '52378.3654326445'}, 'miss_distance': {'astronomical': '0.4909929526', 'lunar': '190.9962585614', 'kilometers': '73451499.893970962', 'miles': '45640645.6492527956'}, 'orbiting_body': 'Earth'}]",False,http://api.nasa.gov/neo/rest/v1/neo/54357100?api_key=zEV8WaqAclQozMvV7r8zkXjdX6O5NLcAqvgJgtwC,0.024019003,0.0537081235,24.0190030115,53.7081234856,0.0149247119,0.0333726704,78.8025058404,176.2077598564,
54359260,54359260,(2023 KW),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54359260,22.93,False,"[{'close_approach_date': '2024-11-10', 'close_approach_date_full': '2024-Nov-10 23:14', 'epoch_date_close_approach': 1731280440000, 'relative_velocity': {'kilometers_per_second': '9.0423799766', 'kilometers_per_hour': '32552.5679159132', 'miles_per_hour': '20226.8997697517'}, 'miss_distance': {'astronomical': '0.2457369471', 'lunar': '95.5916724219', 'kilometers': '36761723.866462677', 'miles': '22842675.9816598626'}, 'orbiting_body': 'Earth'}]",False,http://api.nasa.gov/neo/rest/v1/neo/54359260?api_key=zEV8WaqAclQozMvV7r8zkXjdX6O5NLcAqvgJgtwC,0.0689532874,0.154184238,68.9532874451,154.1842379994,0.0428455732,0.0958056141,226.2247035814,505.8538153978,
54494479,54494479,(2024 UZ),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54494479,26.191,False,"[{'close_approach_date': '2024-11-10', 'close_approach_date_full': '2024-Nov-10 04:35', 'epoch_date_close_approach': 1731213300000, 'relative_velocity': {'kilometers_per_second': '4.8478300135', 'kilometers_per_hour': '17452.1880486119', 'miles_per_hour': '10844.1109572055'}, 'miss_distance': {'astronomical': '0.0419083189', 'lunar': '16.3023360521', 'kilometers': '6269395.242720743', 'miles': '3895621.5614545334'}, 'orbiting_body': 'Earth'}]",False,http://api.nasa.gov/neo/rest/v1/neo/54494479?api_key=zEV8WaqAclQozMvV7r8zkXjdX6O5NLcAqvgJgtwC,0.0153587184,0.0343431383,15.35871836,34.3431383002,0.0095434622,0.0213398302,50.3894975442,112.6743418609,
