id,neo_reference_id,name,nasa_jpl_url,absolute_magnitude_h,is_potentially_hazardous_asteroid,close_approach_data,is_sentry_object,links_self,estimated_diameter_kilometers_estimated_diameter_min,estimated_diameter_kilometers_estimated_diameter_max,estimated_diameter_meters_estimated_diameter_min,estimated_diameter_meters_estimated_diameter_max,estimated_diameter_miles_estimated_diameter_min,estimated_diameter_miles_estimated_diameter_max,estimated_diameter_feet_estimated_diameter_min,estimated_diameter_feet_estimated_diameter_max,sentry_data
3263235,3263235,(2004 XO),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3263235,21.62,True,"[{'close_approach_date': '2024-11-30', 'close_approach_date_full': '2024-Nov-30 06:02', 'epoch_date_close_approach': 1732946520000, 'relative_velocity': {'kilometers_per_second': '14.6082883566', 'kilometers_per_hour': '52589.8380837222', 'miles_per_hour': '32677.2802248551'}, 'miss_distance': {'astronomical': '0.1267458129', 'lunar': '49.3041212181', 'kilometers': '18960903.641258523', 'miles': '11781759.1952446974'}, 'orbiting_body': 'Earth'}]",False,http://api.nasa.gov/neo/rest/v1/neo/3263235?api_key=zEV8WaqAclQozMvV7r8zkXjdX6O5NLcAqvgJgtwC,0.1260535197,0.2818642388,126.0535196822,281.8642388124,0.0783260016,0.1751422639,413.5614295141,924.7514692654,
3552578,3552578,(2010 WR7),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3552578,23.5,False,"[{'close_approach_date': '2024-11-30', 'close_approach_date_full': '2024-Nov-30 05:44', 'epoch_date_close_approach': 1732945440000, 'relative_velocity': {'kilometers_per_second': '21.7457388057', 'kilometers_per_hour': '78284.65970047', 'miles_per_hour': '48643.0431344392'}, 'miss_distance': {'astronomical': '0.4858307395', 'lunar': '188.9881576655', 'kilometers': '72679243.809724865', 'miles': '45160787.969798537'}, 'orbiting_body': 'Earth'}]",False,http://api.nasa.gov/neo/rest/v1/neo/3552578?api_key=zEV8WaqAclQozMvV7r8zkXjdX6O5NLcAqvgJgtwC,0.0530340723,0.1185877909,53.0340723319,118.5877908577,0.0329538346,0.0736870142,173.9963058693,389.0675677576,
3604236,3604236,(2012 JS17),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3604236,21.0,False,"[{'close_approach_date': '2024-11-30', 'close_approach_date_full': '2024-Nov-30 06:14', 'epoch_date_close_approach': 1732947240000, 'relative_velocity': {'kilometers_per_second': '12.8529509481', 'kilometers_per_hour': '46270.6234131456', 'miles_per_hour': '28750.7659757959'}, 'miss_distance': {'astronomical': '0.1861123221', 'lunar': '72.3976932969', 'kilometers': '27842006.966913927', 'miles': '17300220.9073371126'}, 'orbiting_body': 'Earth'}]",False,http://api.nasa.gov/neo/rest/v1/neo/3604236?api_key=zEV8WaqAclQozMvV7r8zkXjdX6O5NLcAqvgJgtwC,0.1677084622,0.3750075218,167.7084621628,375.0075217981,0.1042091748,0.2330187988,550.2246310023,1230.3396778159,
3647027,3647027,(2013 RE6),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3647027,21.53,False,"[{'close_approach_date': '2024-11-30', 'close_approach_date_full': '2024-Nov-30 16:57', 'epoch_date_close_approach': 1732985820000, 'relative_velocity': {'kilometers_per_second': '5.7371234805', 'kilometers_per_hour': '20653.6445298291', 'miles_per_hour': '12833.3715135485'}, 'miss_distance': {'astronomical': '0.1914549747', 'lunar': '74.4759851583', 'kilometers': '28641256.416023889', 'miles': '17796851.4859481082'}, 'orbiting_body': 'Earth'}]",False,http://api.nasa.gov/neo/rest/v1/neo/3647027?api_key=zEV8WaqAclQozMvV7r8zkXjdX6O5NLcAqvgJgtwC,0.1313877806,0.2937920088,131.3877806011,293.7920088369,0.0816405566,0.1825538343,431.0622861073,963.8845742724,
3836941,3836941,(2018 YG),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3836941,24.3,False,"[{'close_approach_date': '2024-11-30', 'close_approach_date_full': '2024-Nov-30 22:24', 'epoch_date_close_approach': 1733005440000, 'relative_velocity': {'kilometers_per_second': '16.7012462693', 'kilometers_per_hour': '60124.4865694908', 'miles_per_hour': '37359.0177798039'}, 'miss_distance': {'astronomical': '0.3006686875', 'lunar': '116.9601194375', 'kilometers': '44979395.225695625', 'miles': '27948900.185524625'}, 'orbiting_body': 'Earth'}]",False,http://api.nasa.gov/neo/rest/v1/neo/3836941?api_key=zEV8WaqAclQozMvV7r8zkXjdX6O5NLcAqvgJgtwC,0.0366906138,0.0820427065,36.6906137531,82.0427064882,0.0227984834,0.0509789586,120.3760332259,269.1689931548,
3837682,3837682,(2019 AN5),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3837682,21.07,True,"[{'close_approach_date': '2024-11-30', 'close_approach_date_full': '2024-Nov-30 04:48', 'epoch_date_close_approach': 1732942080000, 'relative_velocity': {'kilometers_per_second': '13.3508770181', 'kilometers_per_hour': '48063.1572651946', 'miles_per_hour': '29864.5768018094'}, 'miss_distance': {'astronomical': '0.1771007161', 'lunar': '68.8921785629', 'kilometers': '26493889.904034707', 'miles': '16462539.8082526766'}, 'orbiting_body': 'Earth'}]",False,http://api.nasa.gov/neo/rest/v1/neo/3837682?api_key=zEV8WaqAclQozMvV7r8zkXjdX6O5NLcAqvgJgtwC,0.1623883902,0.3631114793,162.3883902199,363.1114792885,0.1009034364,0.225626943,532.7703261691,1191.3106657088,
3841756,3841756,(2019 JN2),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3841756,25.72,False,"[{'close_approach_date': '2024-11-30', 'close_approach_date_full': '2024-Nov-30 07:39', 'epoch_date_close_approach': 1732952340000, 'relative_velocity': {'kilometers_per_second': '7.7132422365', 'kilometers_per_hour': '27767.6720513745', 'miles_per_hour': '17253.751558811'}, 'miss_distance': {'astronomical': '0.0239701302', 'lunar': '9.3243806478', 'kilometers': '3585880.421542674', 'miles': '2228162.7726659412'}, 'orbiting_body': 'Earth'}]",False,http://api.nasa.gov/neo/rest/v1/neo/3841756?api_key=zEV8WaqAclQozMvV7r8zkXjdX6O5NLcAqvgJgtwC,0.0190789723,0.0426618789,19.078972262,42.6618789186,0.0118551201,0.0265088544,62.595055356,139.9667988315,
3843834,3843834,(2019 RX2),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3843834,28.5,False,"[{'close_approach_date': '2024-11-30', 'close_approach_date_full': '2024-Nov-30 23:56', 'epoch_date_close_approach': 1733010960000, 'relative_velocity': {'kilometers_per_second': '17.3559910471', 'kilometers_per_hour': '62481.5677695971', 'miles_per_hour': '38823.616373281'}, 'miss_distance': {'astronomical': '0.4285014566', 'lunar': '166.6870666174', 'kilometers': '64102905.199257442', 'miles': '39831698.2704270196'}, 'orbiting_body': 'Earth'}]",False,http://api.nasa.gov/neo/rest/v1/neo/3843834?api_key=zEV8WaqAclQozMvV7r8zkXjdX6O5NLcAqvgJgtwC,0.0053034072,0.0118587791,5.3034072332,11.8587790858,0.0032953835,0.0073687014,17.3996305869,38.9067567758,
54093080,54093080,(2020 WO3),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54093080,23.01,False,"[{'close_approach_date': '2024-11-30', 'close_approach_date_full': '2024-Nov-30 14:59', 'epoch_date_close_approach': 1732978740000, 'relative_velocity': {'kilometers_per_second': '26.8188782324', 'kilometers_per_hour': '96547.9616365529', 'miles_per_hour': '59991.1487180014'}, 'miss_distance': {'astronomical': '0.4252503945', 'lunar': '165.4224034605', 'kilometers': '63616553.233859715', 'miles': '39529493.172565467'}, 'orbiting_body': 'Earth'}]",False,http://api.nasa.gov/neo/rest/v1/neo/54093080?api_key=zEV8WaqAclQozMvV7r8zkXjdX6O5NLcAqvgJgtwC,0.0664591797,0.1486072436,66.4591797139,148.6072435691,0.041295807,0.0923402315,218.0419351725,487.5565889914,
54134945,54134945,(2021 GE2),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54134945,29.15,False,"[{'close_approach_date': '2024-11-30', 'close_approach_date_full': '2024-Nov-30 00:16', 'epoch_date_close_approach': 1732925760000, 'relative_velocity': {'kilometers_per_second': '15.2889921919', 'kilometers_per_hour': '55040.371890957', 'miles_per_hour': '34199.9466341338'}, 'miss_distance': {'astronomical': '0.3764352089', 'lunar': '146.4332962621', 'kilometers': '56313905.444445043', 'miles': '34991838.2500778734'}, 'orbiting_body': 'Earth'}]",True,http://api.nasa.gov/neo/rest/v1/neo/54134945?api_key=zEV8WaqAclQozMvV7r8zkXjdX6O5NLcAqvgJgtwC,0.0039314701,0.0087910344,3.9314700958,8.7910343856,0.0024429015,0.0054624938,12.8985243489,28.8419772537,http://api.nasa.gov/neo/rest/v1/neo/sentry/54134945?api_key=zEV8WaqAclQozMvV7r8zkXjdX6O5NLcAqvgJgtwC
